GSE26722	REV	Col-0_seedling_10d-DEX-45min	GSM657970	GSM657971	0	SRP006211
GSE30711	FHY3	No-0_seedling_4d-dark	GSM761689		0	SRP007485
GSE30711	FHY3	No-0_seedling_4d-far-red	GSM761690		0	SRP007485
GSE33120	SVP	Col-0_inflorescence-flower-meristem_2w-GFP	GSM820411;GSM820412		0	SRP009053
GSE33120	SVP	Col-0_seedling_4d	GSM820413;GSM820414		0	SRP009053
GSE33120	SVP	Col-0_inflorescence-flower-meristem_2w-wt	GSM820415;GSM820416		0	SRP009053
GSE35059	PIF5	Col-0_seedling_14d	GSM861508	GSM861509	0	SRP010315
GSE35315	PIF4	Col-0_etiolated-seedling	GSM865709	GSM865710	0	SRP010570
GSE35952	APRR1	C24_seedling_2w	GSM878068	GSM878069	0	SRP010999
GSE36361	APRR5	Col-0_whole-plant_18d	GSM889585	GSM889586	0	SRP011389
GSE38358	PI	Ler_flower_4w-dex	GSM940585	GSM940587	0	SRP013458
GSE38358	AP3	Ler_flower_4w-dex	GSM940586	GSM940587	0	SRP013458
GSE39215	PIF3	Col-0_seedling_2d	GSM958269;GSM958270;GSM958271;GSM958272	GSM958273;GSM958274;GSM958275;GSM958276	0	SRP014179
GSE40329	RPS4	Col-0_leaves_3-5w-EDS1	GSM991343;GSM991344	GSM991349;GSM991350	0	SRP015017
GSE40329	RPS4	Col-0_leaves_3-5w-eds1	GSM991345;GSM991346	GSM991351;GSM991352	0	SRP015017
GSE43283	PIF1	Col-0_seedling_3d	GSM1059957;GSM1059958;GSM1059959	GSM1059960;GSM1059961;GSM1059962	0	SRP017773
GSE43284	PIF4	Col-0_seedling_3d	GSM1059963;GSM1059964;GSM1059965	GSM1059966;GSM1059967;GSM1059968	0	SRP017774
GSE45213	SPL7	Col-0_seedling_7d	GSM1099196	GSM1099197	0	SRP019502
GSE45846	SOC1	Col-0_whole-plant_18d	GSM1116506;GSM1116508;GSM1116510	GSM1116505;GSM1116507;GSM1116509	0	SRP020612
